stmtid,accountno,branch,custid,txncode,txnrefno,narration,txndate,valuedate,ccy,amount,lcyamount,excrate,ourref,systemid,override,inuser,indatetime,authuser,audatetime,userbranch
99217558.001,012104444489,01,444448,16,AT0102000014,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,12000,12000,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99217558.002,920005000001,01,990099,16,AT0102000014,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,12000,12000,0,ATM:22001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99053672.001,014501452255,01,145225,16,AT0102000015,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,12500,12500,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99053672.002,920005000001,01,990099,16,AT0102000015,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,12500,12500,0,ATM:18001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99112687.001,012101342914,01,134291,16,AT0102000016,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,13000,13000,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99112687.002,920005000001,01,990099,16,AT0102000016,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,13000,13000,0,ATM:18001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99097700.001,900101001809,90,100180,16,AT0102000017,ATM Withdrawal,02-Jan-25,02-Jan-25,9.9,13500,0,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99097700.002,920005000001,90,990099,16,AT0102000017,ATM Withdrawal,02-Jan-25,02-Jan-25,9.9,13500,0,0,ATM:23001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99144919.001,011804022401,01,402240,16,AT0102000018,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,14000,14000,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99144919.002,920005000001,01,990099,16,AT0102000018,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,14000,14000,0,ATM:18001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99120716.001,012104444299,01,444429,16,AT0102000019,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,14500,14500,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99120716.002,920005000001,01,990099,16,AT0102000019,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,14500,14500,0,ATM:15001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99094318.001,011800196037,01,19603,16,AT0102000020,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,15000,15000,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99094318.002,920005000001,01,990099,16,AT0102000020,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,15000,15000,0,ATM:18001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99043057.001,012101797207,01,179720,16,AT0102000021,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,15500,15500,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99043057.002,920005000001,01,990099,16,AT0102000021,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,15500,15500,0,ATM:23001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99199730.001,012100168678,01,16867,16,AT0102000022,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,16000,16000,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99199730.002,920005000001,01,990099,16,AT0102000022,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,16000,16000,0,ATM:18001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99090808.001,011 00004979,01,497,16,AT0102000023,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,16500,16500,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99090808.002,920005000001,01,990099,16,AT0102000023,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,16500,16500,0,ATM:21001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99154843.001,011801450233,01,145023,16,AT0102000024,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,17000,17000,0,920005000001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99154843.002,920005000001,01,990099,16,AT0102000024,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,17000,17000,0,ATM:18001,AT,,Online,02-Jan-25 22:08:48,Auto,02-Jan-25 22:08:48,BNK
99040848.001,011801450233,01,145023,16,AT0102000025,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,17500,17500,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99040848.002,920005000001,01,990099,16,AT0102000025,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,17500,17500,0,ATM:17001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99045514.001,124001103254,12,110325,16,AT0102000026,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,18000,18000,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99045514.002,920005000001,12,990099,16,AT0102000026,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,18000,18000,0,ATM:16001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99181146.001,124604660163,12,466016,16,AT0102000027,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,18500,18500,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99181146.002,920005000001,12,990099,16,AT0102000027,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,18500,18500,0,ATM:17001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99139927.001,122200354910,12,35491,16,AT0102000028,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,19000,19000,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99139927.002,920005000001,12,990099,16,AT0102000028,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,19000,19000,0,ATM:17001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99152506.001,122205854494,12,585449,16,AT0102000029,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,19500,19500,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99152506.002,920005000001,12,990099,16,AT0102000029,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,19500,19500,0,ATM:17001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99031965.001,122200625789,12,62578,16,AT0102000030,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,20000,20000,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99031965.002,920005000001,12,990099,16,AT0102000030,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,20000,20000,0,ATM:16001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99064580.001,122200625789,12,62578,16,AT0102000031,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,20500,20500,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99064580.002,920005000001,12,990099,16,AT0102000031,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,20500,20500,0,ATM:15001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99122672.001,123600356456,12,35645,16,AT0102000032,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,21000,21000,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99122672.002,920005000001,12,990099,16,AT0102000032,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,21000,21000,0,ATM:17001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99162770.001,125906844812,12,684481,16,AT0102000033,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,21500,21500,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99162770.002,920005000001,12,990099,16,AT0102000033,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,21500,21500,0,ATM:17001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99087695.001,124001820432,12,182043,16,AT0102000034,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,22000,22000,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99087695.002,920005000001,12,990099,16,AT0102000034,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,22000,22000,0,ATM:17001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99015702.001,122302420418,12,242041,16,AT0102000035,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,22500,22500,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99015702.002,920005000001,12,990099,16,AT0102000035,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,22500,22500,0,ATM:17001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99076229.001,122206020314,12,602031,16,AT0102000036,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,23000,23000,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99076229.002,920005000001,12,990099,16,AT0102000036,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,23000,23000,0,ATM:17001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99014912.001,124001111066,12,111106,16,AT0102000037,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,23500,23500,0,920005000001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99014912.002,920005000001,12,990099,16,AT0102000037,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,23500,23500,0,ATM:17001,AT,,Online,02-Jan-25 22:08:49,Auto,02-Jan-25 22:08:49,BNK
99062282.001,122200261819,12,26181,16,AT0102000038,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,24000,24000,0,920005000001,AT,,Online,02-Jan-25 22:08:50,Auto,02-Jan-25 22:08:50,BNK
99062282.002,920005000001,12,990099,16,AT0102000038,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,24000,24000,0,ATM:18001,AT,,Online,02-Jan-25 22:08:50,Auto,02-Jan-25 22:08:50,BNK
99083095.001,122300482920,12,48292,16,AT0102000039,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,24500,24500,0,920005000001,AT,,Online,02-Jan-25 22:08:50,Auto,02-Jan-25 22:08:50,BNK
99083095.002,920005000001,12,990099,16,AT0102000039,ATM Withdrawal,02-Jan-25,02-Jan-25,NPR,24500,24500,0,ATM:15001,AT,,Online,02-Jan-25 22:08:50,Auto,02-Jan-25 22:08:50,BNK
99168279.001,012104441413,01,444141,60,CD0102000001,Cash Deposit,02-Jan-25,02-Jan-25,NPR,5500,5500,0,910001000001,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99168279.002,910001000001,01,990099,60,CD0102000001,Cash Deposit,02-Jan-25,02-Jan-25,NPR,5500,5500,0,012104441413,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99178474.001,012103069141,01,306914,60,CD0102000002,Cash Deposit,02-Jan-25,02-Jan-25,NPR,6000,6000,0,910001000001,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99178474.002,910001000001,01,990099,60,CD0102000002,Cash Deposit,02-Jan-25,02-Jan-25,NPR,6000,6000,0,012103069141,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99027028.001,019900002841,01,284,60,CD0102000003,Cash Deposit,02-Jan-25,02-Jan-25,JPY,6500,0,0,910001000001,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99027028.002,910001000001,01,990099,60,CD0102000003,Cash Deposit,02-Jan-25,02-Jan-25,JPY,6500,0,0,019900002841,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99161943.001,011801015393,01,101539,60,CD0102000004,Cash Deposit,02-Jan-25,02-Jan-25,NPR,7000,7000,0,910001000001,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99161943.002,910001000001,01,990099,60,CD0102000004,Cash Deposit,02-Jan-25,02-Jan-25,NPR,7000,7000,0,011801015393,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99181340.001,014500003007,01,300,60,CD0102000005,Cash Deposit,02-Jan-25,02-Jan-25,EUR,7500,1102500,147,910001000001,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99181340.002,910001000001,01,990099,60,CD0102000005,Cash Deposit,02-Jan-25,02-Jan-25,EUR,7500,1102500,147,014500003007,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99210321.001,012101007885,01,100788,60,CD0102000006,Cash Deposit,02-Jan-25,02-Jan-25,NPR,8000,8000,0,910001000001,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99210321.002,910001000001,01,990099,60,CD0102000006,Cash Deposit,02-Jan-25,02-Jan-25,NPR,8000,8000,0,012101007885,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99133491.001,012100225377,01,22537,60,CD0102000007,Cash Deposit,02-Jan-25,02-Jan-25,NPR,8500,8500,0,910001000001,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99133491.002,910001000001,01,990099,60,CD0102000007,Cash Deposit,02-Jan-25,02-Jan-25,NPR,8500,8500,0,012100225377,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99049389.001,012106830899,01,683089,60,CD0102000008,Cash Deposit,02-Jan-25,02-Jan-25,NPR,9000,9000,0,910001000001,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99049389.002,910001000001,01,990099,60,CD0102000008,Cash Deposit,02-Jan-25,02-Jan-25,NPR,9000,9000,0,012106830899,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99203581.001,012104000734,01,400073,60,CD0102000009,Cash Deposit,02-Jan-25,02-Jan-25,NPR,9500,9500,0,910001000001,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99203581.002,910001000001,01,990099,60,CD0102000009,Cash Deposit,02-Jan-25,02-Jan-25,NPR,9500,9500,0,012104000734,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99050599.001,011801456364,01,145636,60,CD0102000010,Cash Deposit,02-Jan-25,02-Jan-25,NPR,10000,10000,0,910001000001,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99050599.002,910001000001,01,990099,60,CD0102000010,Cash Deposit,02-Jan-25,02-Jan-25,NPR,10000,10000,0,011801456364,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99195554.001,012100278342,01,27834,60,CD0102000011,Cash Deposit,02-Jan-25,02-Jan-25,NPR,10500,10500,0,910001000001,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99195554.002,910001000001,01,990099,60,CD0102000011,Cash Deposit,02-Jan-25,02-Jan-25,NPR,10500,10500,0,012100278342,CD,,Ram,02-Jan-25 22:08:50,Narayan,02-Jan-25 22:08:50,BNK
99174986.001,012104400929,01,440092,60,CD0102000012,Cash Deposit,02-Jan-25,02-Jan-25,NPR,11000,11000,0,910001000001,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99174986.002,910001000001,01,990099,60,CD0102000012,Cash Deposit,02-Jan-25,02-Jan-25,NPR,11000,11000,0,012104400929,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99169270.001,012100163470,01,16347,60,CD0102000013,Cash Deposit,02-Jan-25,02-Jan-25,NPR,11500,11500,0,910001000001,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99169270.002,910001000001,01,990099,60,CD0102000013,Cash Deposit,02-Jan-25,02-Jan-25,NPR,11500,11500,0,012100163470,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99210479.001,012104441675,01,444167,60,CD0102000014,Cash Deposit,02-Jan-25,02-Jan-25,NPR,12000,12000,0,910001000001,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99210479.002,910001000001,01,990099,60,CD0102000014,Cash Deposit,02-Jan-25,02-Jan-25,NPR,12000,12000,0,012104441675,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99105949.001,011800196045,01,19604,60,CD0102000015,Cash Deposit,02-Jan-25,02-Jan-25,NPR,12500,12500,0,910001000001,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99105949.002,910001000001,01,990099,60,CD0102000015,Cash Deposit,02-Jan-25,02-Jan-25,NPR,12500,12500,0,011800196045,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99105181.001,012100395270,01,39527,60,CD0102000016,Cash Deposit,02-Jan-25,02-Jan-25,NPR,13000,13000,0,910001000001,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99105181.002,910001000001,01,990099,60,CD0102000016,Cash Deposit,02-Jan-25,02-Jan-25,NPR,13000,13000,0,012100395270,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99168243.001,012104444746,01,444474,60,CD0102000017,Cash Deposit,02-Jan-25,02-Jan-25,NPR,13500,13500,0,910001000001,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99168243.002,910001000001,01,990099,60,CD0102000017,Cash Deposit,02-Jan-25,02-Jan-25,NPR,13500,13500,0,012104444746,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99137821.001,011804027826,01,402782,60,CD0102000018,Cash Deposit,02-Jan-25,02-Jan-25,NPR,14000,14000,0,910001000001,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99137821.002,910001000001,01,990099,60,CD0102000018,Cash Deposit,02-Jan-25,02-Jan-25,NPR,14000,14000,0,011804027826,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99219448.001,012106830736,01,683073,60,CD0102000019,Cash Deposit,02-Jan-25,02-Jan-25,NPR,14500,14500,0,910001000001,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99219448.002,910001000001,01,990099,60,CD0102000019,Cash Deposit,02-Jan-25,02-Jan-25,NPR,14500,14500,0,012106830736,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99059224.001,012100674376,01,67437,60,CD0102000020,Cash Deposit,02-Jan-25,02-Jan-25,NPR,15000,15000,0,910001000001,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99059224.002,910001000001,01,990099,60,CD0102000020,Cash Deposit,02-Jan-25,02-Jan-25,NPR,15000,15000,0,012100674376,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99192705.001,019900027148,01,2714,60,CD0102000021,Cash Deposit,02-Jan-25,02-Jan-25,NPR,15500,15500,0,910001000001,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99192705.002,910001000001,01,990099,60,CD0102000021,Cash Deposit,02-Jan-25,02-Jan-25,NPR,15500,15500,0,019900027148,CD,,Ram,02-Jan-25 22:08:51,Narayan,02-Jan-25 22:08:51,BNK
99148318.001,012100677471,01,67747,60,CD0102000022,Cash Deposit,02-Jan-25,02-Jan-25,NPR,16000,16000,0,910001000001,CD,,Ram,02-Jan-25 22:08:52,Narayan,02-Jan-25 22:08:52,BNK
99148318.002,910001000001,01,990099,60,CD0102000022,Cash Deposit,02-Jan-25,02-Jan-25,NPR,16000,16000,0,012100677471,CD,,Ram,02-Jan-25 22:08:52,Narayan,02-Jan-25 22:08:52,BNK
99085133.001,012104442854,01,444285,60,CD0102000023,Cash Deposit,02-Jan-25,02-Jan-25,NPR,16500,16500,0,910001000001,CD,,Ram,02-Jan-25 22:08:52,Narayan,02-Jan-25 22:08:52,BNK
